NUM,STATION,NAME,X[m],sig_X[m],Y[m],sig_Y[m],Z[m],sig_Z[m],START,END,ID-SNX
1194,TIDB,50103M108,-4460996.77419,0.00021,2682557.07987,0.00016,-3674442.86014,0.00019,2000-07-02,2004-12-07,A1
1195,TIDB,50103M108,-4460996.77746,0.00025,2682557.08145,0.00018,-3674442.86383,0.00021,2004-12-08,2016-08-04,A2
1196,TIDB,50103M108,-4460996.77717,0.00085,2682557.0811,0.00064,-3674442.86076,0.00072,2016-08-05,2022-04-30,A3
1197,TNEC,42026M001,1345988.02484,0.00113,-6234088.54695,0.0024,-109474.75317,0.00096,2011-10-12,2013-02-08,A1
1198,TNEC,42026M001,1345988.02292,0.00094,-6234088.5453,0.00264,-109474.75225,0.00067,2013-02-10,2016-04-15,A2
1199,TNEC,42026M001,1345988.00261,0.00141,-6234088.55327,0.00374,-109474.74708,0.00093,2016-04-17,2022-04-30,A3
1200,TOGU,41661M001,4093503.23703,0.0002,-4717194.88338,0.00022,-1290037.66512,0.00011,2008-04-03,2022-04-30,A1
1201,TOL2,40515M001,-1009229.22839,0.00013,-5939511.4043,0.00035,2094889.20801,0.00017,2005-01-09,2016-05-17,A1
1202,TOL2,40515M001,-1009229.23082,0.00054,-5939511.41105,0.00117,2094889.2044,0.00058,2016-05-18,2021-05-12,A2
1203,TOL2,40515M001,-1009229.2277,0.00143,-5939511.40391,0.00172,2094889.20381,0.00149,2021-05-13,2022-04-30,A3
1204,TOPL,41648M001,4174345.59148,0.00048,-4690236.75234,0.00051,-1118921.23736,0.00023,2008-01-01,2013-09-25,A1
1205,TOPL,41648M001,4174345.60408,0.00119,-4690236.75106,0.00122,-1118921.23745,0.00103,2013-09-26,2014-09-06,A2
1206,TOPL,41648M001,4174345.59464,0.00102,-4690236.75463,0.0011,-1118921.22903,0.00059,2015-01-28,2018-05-25,A3
1207,TOPL,41648M001,4174345.59156,0.00094,-4690236.75397,0.00103,-1118921.23191,0.00045,2018-05-26,2022-04-30,A4
1208,TPEC,42049M001,1593945.92547,0.00178,-6175355.97987,0.0038,-87328.91972,0.00147,2018-01-10,2019-05-25,A1
1209,TPEC,42049M001,1593945.92443,0.0015,-6175355.97704,0.00408,-87328.92354,0.001,2019-05-27,2022-04-30,A2
1210,TRO1,10302M006,2102928.30948,0.00017,721619.55164,0.00013,5958196.33566,0.0004,2000-01-02,2000-06-19,A1
1211,TRO1,10302M006,2102928.30112,0.00013,721619.55583,0.0001,5958196.33377,0.00024,2000-06-20,2004-07-13,A2
1212,TRO1,10302M006,2102928.30901,0.00028,721619.5506,0.00018,5958196.33676,0.00047,2004-07-14,2007-08-23,A3
1213,TRO1,10302M006,2102928.30524,0.00043,721619.55043,0.00026,5958196.33377,0.00068,2007-08-24,2010-07-26,A4
1214,TRO1,10302M006,2102928.30627,0.00016,721619.55451,0.00012,5958196.33906,0.0004,2010-07-27,2022-04-30,A5
1215,TSEC,42050M001,1379121.15929,0.00288,-6222110.98269,0.00891,-263257.57876,0.00205,2019-05-13,2022-04-30,A1
1216,TUCU,41520S001,2386117.20854,0.00016,-5171223.30139,0.00026,-2862949.00628,0.00017,2000-01-02,2006-01-23,A1
1217,TUCU,41520S001,2386117.20857,0.00052,-5171223.3014,0.00073,-2862949.00625,0.00055,2006-08-31,2010-02-26,A2
