NUM,STATION,NAME,VX[m/a],sig_VX[m/a],VY[m/a],sig_Y[m],VZ[m/a],sig_VZ[m/a],START,END,ID-SNX
233,CIQE,40603M002,0.01308,0.00033,0.00359,0.00103,0.01401,0.00033,2017-11-14,2022-04-30,A2
234,CJ01,42214M001,-0.00044,0.00082,-0.00422,0.00162,0.00594,0.00062,2018-07-23,2019-05-25,A1
235,CJ01,42214M001,-0.00044,0.00067,-0.00422,0.00154,0.00595,0.00038,2019-05-27,2022-04-30,A2
236,CKIS,50213M003,-0.03327,0.0006,0.05465,0.00028,0.0327,0.00029,2012-11-22,2017-12-04,A1
237,CKIS,50213M003,-0.03328,0.00059,0.05468,0.00028,0.03274,0.00029,2017-12-05,2022-04-30,A2
238,CLEC,42031M001,-0.00761,0.00044,0.00055,0.00156,0.00285,0.0004,2012-12-09,2016-04-15,A1
239,CLEC,42031M001,-0.0076,0.0006,0.00055,0.00162,0.00285,0.00057,2016-04-17,2018-03-10,A2
240,CN19,80101M001,0.01076,9e-05,0.00754,0.00019,0.01261,7e-05,2013-06-15,2022-04-30,A1
241,CN30,41203M001,0.01147,0.00052,0.00253,0.00074,0.00598,0.00053,2012-02-13,2012-09-30,A1
242,CN30,41203M001,0.01141,0.00017,0.00252,0.00054,0.00598,0.00016,2012-10-01,2018-09-21,A2
243,CN39,42406M001,0.00404,0.00053,0.00809,0.00115,0.01148,0.00036,2015-01-21,2018-09-29,A1
244,CN41,42407M001,-0.00579,0.00044,0.00234,0.00104,0.0112,0.00028,2015-01-19,2018-12-15,A1
245,CN41,42407M001,-0.00578,0.00055,0.00235,0.00109,0.01123,0.00035,2019-09-01,2022-04-30,A2
246,COEC,42023M001,0.00261,0.00031,-0.00121,0.00064,0.0101,0.00025,2012-06-28,2016-04-15,A1
247,COEC,42023M001,0.00262,0.0002,-0.00121,0.00053,0.0101,0.00014,2016-04-17,2022-04-30,A2
248,COL2,40524M001,-0.00322,0.00025,0.00226,0.0007,0.00323,0.00031,2005-01-12,2021-05-14,A1
249,COL2,40524M001,-0.00322,0.00053,0.00227,0.00086,0.00323,0.00057,2021-05-16,2022-04-30,A2
250,CONZ,41719M002,0.03599,0.00038,-0.00142,0.00069,0.01769,0.00056,2002-06-10,2005-05-17,A1
251,CONZ,41719M002,0.03595,0.00026,-0.00143,0.00058,0.01762,0.00043,2005-05-18,2010-02-26,A2
252,CONZ,41719M002,0.00998,0.00156,-0.00283,0.0039,0.02145,0.00285,2011-02-13,2015-04-06,A3
253,COPO,41714S001,0.02278,0.00025,-0.00198,0.00051,0.01474,0.0003,2000-01-02,2006-04-30,A1
254,COPO,41714S001,0.02279,0.00035,-0.00199,0.00061,0.01473,0.0004,2006-05-02,2010-02-26,A2
255,COPO,41714S001,0.02327,0.00065,0.00281,0.0013,0.01994,0.00074,2010-02-28,2013-03-17,A3
256,COPO,41714S001,0.02329,0.00071,0.00282,0.00134,0.01999,0.00077,2013-03-19,2015-08-05,A4
257,CORD,41511M001,0.00361,0.0004,-0.00597,0.00072,0.0106,0.0005,2000-01-02,2006-05-02,A1
258,CORD,41511M001,0.00154,0.00128,-0.00361,0.00227,0.0091,0.00158,2013-08-28,2015-09-15,A2
259,CORD,41511M001,0.00054,0.00018,-0.0066,0.00032,0.00896,0.00023,2015-09-17,2022-04-30,A3
260,CORU,48087M002,0.00026,0.00055,-0.00558,0.00077,0.01077,0.00038,2016-09-27,2019-10-31,A1
261,CORU,48087M002,0.00026,0.00054,-0.00558,0.00076,0.01077,0.00038,2019-11-01,2022-04-30,A2
262,COYQ,41715S001,0.00314,0.00019,-0.0063,0.00035,0.00742,0.00037,2000-01-02,2006-10-19,A1
263,COYQ,41715S001,0.00313,0.00032,-0.0063,0.00049,0.00742,0.00053,2007-06-07,2010-02-26,A2
264,COYQ,41715S001,0.00313,0.00014,-0.0063,0.00027,0.00741,0.0003,2010-02-28,2019-02-12,A3
