NUM,STATION,NAME,VX[m/a],sig_VX[m/a],VY[m/a],sig_Y[m],VZ[m/a],sig_VZ[m/a],START,END,ID-SNX
407,GRAZ,11001M002,-0.01688,0.00023,0.01808,0.00011,0.011,0.00024,2010-05-19,2016-10-20,A5
408,GRAZ,11001M002,-0.01683,0.00027,0.01804,0.00013,0.01095,0.00028,2016-10-21,2022-04-30,A6
409,GRE0,43501S001,0.00957,0.00019,0.01124,0.00031,0.01517,0.00012,2007-06-27,2016-03-26,A1
410,GRE1,43501S002,0.00957,0.00033,0.01128,0.00049,0.01514,0.00025,2017-02-23,2021-01-04,A1
411,GTK0,43602S007,-0.00901,0.00019,0.00166,0.00043,0.0055,0.0002,2007-06-28,2014-10-19,A1
412,GUAT,40901S001,0.00585,0.00013,0.00058,0.00043,0.00373,0.00017,2000-07-30,2007-06-12,A1
413,GUAT,40901S001,0.00586,0.00022,0.00058,0.00054,0.00372,0.00023,2007-06-14,2011-11-27,A2
414,GUAT,40901S001,0.00585,0.0005,0.00058,0.00066,0.00373,0.00052,2011-11-28,2012-06-25,A3
415,GUAT,40901S001,0.00585,0.0005,0.00058,0.00066,0.00373,0.00052,2012-06-27,2012-11-06,A4
416,GUAT,40901S001,0.00251,9e-05,0.00042,0.00028,0.00117,0.0001,2012-11-08,2022-01-17,A5
417,GUAY,41549M001,0.00048,0.00021,-0.00607,0.00031,0.01017,0.00023,2010-09-19,2017-01-07,A1
418,GUAY,41549M001,0.00048,0.00022,-0.00608,0.00032,0.01012,0.00023,2017-01-08,2022-04-30,A2
419,GUEC,42042M001,0.00335,0.00021,0.00226,0.00062,0.01155,0.00016,2014-10-10,2019-05-25,A1
420,GUEC,42042M001,0.00335,0.00049,0.00226,0.00079,0.01151,0.00046,2019-05-27,2020-09-03,A2
421,GVA1,41623M001,0.0011,0.00021,-0.00637,0.0002,0.01209,0.00011,2014-04-10,2022-04-30,A1
422,GVAL,41623M001,0.0011,0.00022,-0.00636,0.00021,0.01201,0.00012,2004-07-01,2014-04-08,A1
423,GYEC,42007M001,0.00454,0.00027,0.00212,0.00073,0.0134,0.00018,2008-08-27,2013-02-18,A1
424,GYEC,42007M001,0.00455,0.00051,0.00212,0.00088,0.01343,0.00046,2013-02-19,2014-09-26,A2
425,GZEC,42032M001,-0.0009,0.00049,-0.00069,0.00134,0.00743,0.00037,2012-12-09,2016-01-09,A1
426,GZEC,42032M001,-0.0009,0.00052,-0.00069,0.00135,0.00743,0.00041,2016-09-25,2019-02-21,A2
427,GZEC,42032M001,-0.00215,0.00043,-0.00181,0.00118,0.00792,0.0003,2019-05-26,2022-04-30,A3
428,HARB,30302M009,-0.00103,0.0002,0.01951,0.00012,0.01702,0.00013,2000-08-13,2011-11-30,A1
429,HARB,30302M009,-0.00103,0.00041,0.01954,0.00029,0.01703,0.00029,2011-12-01,2016-02-23,A2
430,HARB,30302M009,-0.00103,0.00029,0.01956,0.00019,0.0171,0.00018,2016-02-24,2022-04-30,A3
431,HC03,42238M002,0.00351,0.00051,-0.00063,0.00153,0.01271,0.00038,2018-07-23,2022-04-30,A1
432,HER2,40522M001,-0.01119,0.0001,0.00051,0.00019,-0.00604,0.00012,2005-01-09,2016-05-30,A1
433,HER2,40522M001,-0.01113,0.00041,0.00051,0.00051,-0.00604,0.00046,2016-05-31,2018-05-29,A2
434,HERS,13212M007,-0.01331,0.00051,0.01709,0.00032,0.01035,0.00052,2000-01-02,2001-06-08,A1
435,HERS,13212M007,-0.01349,0.00019,0.01708,8e-05,0.01035,0.00021,2001-08-08,2010-08-19,A2
436,HERS,13212M007,-0.01342,0.00012,0.01709,5e-05,0.01035,0.00013,2010-08-20,2022-04-30,A3
437,HNLC,49970S001,-0.01164,0.00011,0.0632,7e-05,0.03244,6e-05,2000-01-02,2022-04-30,A1
438,HOB2,50116M004,-0.03831,0.00031,0.00791,0.00025,0.04187,0.00032,2000-01-02,2004-12-22,A1
439,HOB2,50116M004,-0.03836,7e-05,0.00792,6e-05,0.04183,7e-05,2004-12-24,2021-12-16,A2
440,HOB2,50116M004,-0.03836,0.00048,0.00792,0.00043,0.04182,0.00052,2021-12-17,2022-04-30,A3
441,HOLM,40148M001,-0.02111,0.00028,-0.00288,0.00046,-0.00085,0.00053,2001-08-29,2002-08-09,A1
442,HOLM,40148M001,-0.02112,4e-05,-0.00288,6e-05,-0.00085,0.00014,2002-08-10,2017-12-04,A2
443,HRAO,30302M004,-0.00131,0.00048,0.01993,0.00033,0.0163,0.00033,2000-01-02,2004-11-19,A1
444,HRAO,30302M004,-0.00132,0.00058,0.02,0.00051,0.01622,0.00055,2004-11-20,2006-02-13,A2
445,HRAO,30302M004,-0.00131,0.00058,0.01998,0.00052,0.01622,0.00056,2006-02-14,2006-12-28,A3
446,HRAO,30302M004,-0.00132,0.00058,0.02,0.00052,0.01628,0.00056,2007-04-26,2007-12-11,A4
447,HRAO,30302M004,-0.00132,0.00058,0.02,0.00052,0.0163,0.00055,2008-02-14,2009-01-10,A5
448,HRAO,30302M004,-0.00131,0.00034,0.01997,0.00025,0.01624,0.00026,2009-01-11,2013-02-21,A6
449,HRAO,30302M004,-0.00132,0.00024,0.01993,0.00015,0.01626,0.00015,2013-02-22,2022-04-30,A7
450,HUEH,40903S001,-0.00594,0.00073,0.00248,0.00197,-0.00206,0.00083,2011-11-23,2012-11-06,A1
451,HUEH,40903S001,-0.00594,0.00056,0.00248,0.00191,-0.00206,0.00067,2012-11-08,2015-09-03,A2
452,HV01,42224M001,0.00781,0.0003,0.00055,0.00081,0.01225,0.0002,2016-02-28,2022-04-30,A1
453,IACR,41721M001,0.01913,0.00098,-0.00142,0.00203,0.01345,0.00089,2010-01-01,2011-09-08,A1
454,IACR,41721M001,0.01916,0.0009,-0.00142,0.00198,0.0135,0.00079,2011-09-09,2014-03-31,A2
455,IACR,41721M001,0.01277,0.0004,-0.00027,0.00091,0.01228,0.00035,2014-04-02,2022-04-30,A3
456,IBAG,41918S001,0.00086,0.00052,0.00264,0.00056,0.0147,0.00052,2006-02-18,2006-04-23,A1
457,IBAG,41918S001,0.00086,0.00048,0.00264,0.00055,0.01464,0.00046,2008-02-28,2010-01-13,A2
458,IBAG,41918S001,0.00086,9e-05,0.00264,0.00022,0.0147,7e-05,2012-05-23,2022-04-30,A3
459,IBEC,42024M001,0.00193,0.00043,0.00287,0.00123,0.01205,0.0003,2012-05-25,2016-04-15,A1
460,IBEC,42024M001,-0.00356,0.00027,0.00292,0.00074,0.00981,0.00018,2016-04-17,2022-04-30,A2
461,IC01,42215M001,0.01658,0.00052,-0.00141,0.0015,0.01356,0.0004,2018-07-23,2022-04-30,A1
462,ICAM,40514M002,-0.00837,0.00012,0.00227,0.00042,0.00026,0.00017,2009-01-01,2016-05-23,A1
463,ICAM,40514M002,-0.00837,0.0002,0.00227,0.00051,0.00026,0.00023,2016-05-24,2021-05-20,A2
464,ICAM,40514M002,-0.00838,0.00048,0.00227,0.00066,0.00026,0.00052,2021-05-21,2022-04-30,A3
465,ICEP,40531M001,-0.00467,0.00014,0.0032,0.00044,-0.00531,0.00019,2009-06-01,2016-05-12,A1
466,ICEP,40531M001,-0.00466,0.0002,0.00319,0.0005,-0.0053,0.00022,2016-05-13,2021-05-24,A2
467,ICEP,40531M001,-0.00466,0.00049,0.00319,0.00067,-0.00531,0.00052,2021-05-25,2022-04-30,A3
468,IDGO,40532M001,-0.00967,0.00016,0.00065,0.00043,-0.00429,0.00021,2009-01-28,2016-05-17,A1
469,IDGO,40532M001,-0.00967,0.00022,0.00065,0.0005,-0.0043,0.00027,2016-05-18,2021-05-25,A2
470,IDGO,40532M001,-0.00967,0.00047,0.00065,0.00065,-0.0043,0.00052,2021-05-26,2022-04-30,A3
471,IFSC,48064M001,0.00152,0.00031,-0.00624,0.00038,0.01105,0.00024,2015-10-11,2021-12-17,A1
472,IFSC,48064M001,0.00152,0.00057,-0.00625,0.00062,0.01106,0.00057,2021-12-18,2022-04-30,A2
473,IGM0,41505M002,0.00325,0.00039,-0.00617,0.00054,0.0091,0.00045,2000-01-02,2003-12-29,A1
474,IGM1,41505M003,0.00325,0.00031,-0.00617,0.00043,0.00911,0.00034,2003-11-09,2010-02-26,A1
475,IGM1,41505M003,0.001,0.00011,-0.00758,0.00015,0.00903,0.00012,2010-02-28,2022-04-30,A2
476,IGN1,41303M001,0.01635,0.00019,0.0054,0.00044,0.01276,0.00016,2008-07-29,2013-10-07,A1
477,IGN1,41303M001,0.01638,0.0001,0.00539,0.00028,0.01275,8e-05,2014-04-27,2022-04-30,A2
478,IISC,22306M002,-0.04142,0.00035,0.00165,0.00062,0.03482,0.00035,2000-01-02,2004-12-22,A1
479,IISC,22306M002,-0.04346,0.00039,0.00063,0.00064,0.03434,0.00039,2004-12-24,2008-01-07,A2
480,IISC,22306M002,-0.04345,0.00037,0.00063,0.00064,0.03433,0.00035,2008-07-11,2012-04-11,A3
481,IISC,22306M002,-0.04345,0.00016,0.00063,0.00045,0.03432,0.00012,2012-04-13,2022-04-30,A4
482,ILHA,41634M001,0.00085,0.00049,-0.00617,0.00051,0.01127,0.00049,2009-06-19,2010-05-28,A1
483,ILHA,41634M001,0.00085,0.00011,-0.00617,0.00013,0.01121,8e-05,2010-09-19,2021-11-18,A2
484,ILHA,41634M001,0.00085,0.00051,-0.00617,0.00052,0.01126,0.00052,2021-11-19,2022-04-30,A3
485,IMBT,41638M001,0.00117,0.00042,-0.00636,0.00044,0.01072,0.0004,2007-09-05,2010-02-26,A1
486,IMBT,41638M001,0.00118,0.00034,-0.00636,0.00037,0.01071,0.0003,2010-02-28,2013-10-05,A2
487,IMBT,41638M001,0.00118,0.00014,-0.00637,0.00016,0.01074,0.00012,2013-10-06,2022-02-21,A3
488,IMPZ,41615M001,-0.00383,0.00056,-0.00174,0.00056,0.01405,0.00052,2000-01-13,2000-05-08,A1
489,IMPZ,41615M001,-0.00384,0.00035,-0.00174,0.00038,0.01407,0.00017,2000-05-09,2007-04-25,A2
490,IMPZ,41615M001,-0.00384,0.0003,-0.00173,0.0003,0.01402,0.00013,2007-05-21,2012-11-03,A3
491,IMPZ,41615M001,-0.00383,0.0005,-0.00173,0.0005,0.01402,0.00039,2012-11-04,2014-11-12,A4
492,IMPZ,41615M001,-0.00383,0.00022,-0.00174,0.00023,0.01405,9e-05,2014-12-23,2021-09-22,A5
493,INEG,40507M001,0.00362,0.00121,0.08254,0.00361,-0.03484,0.00176,2000-05-04,2002-03-22,A1
494,INEG,40507M001,-0.00334,0.00025,0.02645,0.00053,-0.01173,0.0003,2004-11-14,2009-01-17,A2
495,INEG,40507M001,-0.00335,0.00014,0.02642,0.00038,-0.01173,0.00018,2009-01-18,2016-05-20,A3
496,INEG,40507M001,0.001,0.00022,0.06374,0.00062,-0.02335,0.00029,2016-05-21,2021-05-17,A4
497,INEG,40507M001,0.001,0.00049,0.06375,0.00079,-0.02331,0.00054,2021-05-18,2022-04-30,A5
498,IPAZ,40521M002,-0.04255,0.00029,0.02623,0.00058,0.02013,0.00034,2012-02-26,2016-05-25,A1
499,IPAZ,40521M002,-0.04259,0.00025,0.02627,0.00054,0.0202,0.00031,2016-05-26,2021-05-17,A2
500,IPAZ,40521M002,-0.04257,0.00051,0.02624,0.00073,0.02014,0.00056,2021-05-18,2022-04-30,A3
501,IQQE,41708S002,0.02481,0.00054,0.00146,0.0008,0.01563,0.00056,2000-01-03,2001-06-22,A1
502,IQQE,41708S002,0.02488,0.00035,0.00145,0.00069,0.01566,0.00037,2001-06-24,2005-06-12,A2
503,IQQE,41708S002,0.0249,0.00027,0.00145,0.00062,0.01563,0.00027,2005-06-14,2014-03-31,A3
504,IQQE,41708S002,0.01857,0.0005,0.00027,0.00115,0.01338,0.00045,2014-04-02,2022-04-30,A4
505,IQUI,42204M001,-0.00305,0.00018,-0.00117,0.00041,0.01102,0.0001,2009-07-02,2017-04-20,A1
506,IRKM,12313M001,-0.02558,0.00013,-0.00098,0.00024,-0.00379,0.0003,2004-11-17,2011-03-10,A1
507,IRKM,12313M001,-0.02557,6e-05,-0.00098,0.00012,-0.00379,0.00014,2011-03-12,2022-04-30,A2
508,ISCO,40611M001,0.04881,0.00054,0.01375,0.00103,0.07298,0.00053,2011-05-20,2012-09-04,A1
509,ISCO,40611M001,0.04884,0.00021,0.01375,0.00089,0.07294,0.00021,2012-09-06,2020-01-25,A2
510,ISPA,41703M007,0.06394,0.00016,-0.0184,0.00051,-0.00455,0.00023,2004-02-14,2012-06-10,A1
511,ISPA,41703M007,0.06392,0.00027,-0.01834,0.00063,-0.00454,0.00033,2012-10-05,2019-01-09,A2
512,ITAI,48058M001,0.00015,0.00132,-0.00727,0.00172,0.0117,0.0011,2017-02-19,2018-10-19,A1
513,ITAI,48058M001,0.00015,0.00127,-0.00728,0.00167,0.01165,0.00104,2018-10-20,2020-10-15,A2
514,ITAI,48058M001,0.00015,0.00136,-0.00728,0.00175,0.01166,0.00116,2020-10-16,2020-11-12,A3
515,ITAI,48058M001,0.00015,0.00129,-0.00727,0.00167,0.01161,0.00106,2020-11-13,2022-04-30,A4
516,ITAM,48069M001,-0.0045,0.00085,0.00066,0.0013,0.01298,0.00035,2015-01-01,2018-08-31,A1
517,JAMA,42601S001,0.00155,0.00057,0.00442,0.00157,0.01005,0.00066,2000-01-02,2003-09-05,A1
518,JAMG,48074M001,0.00038,0.00032,-0.00615,0.00031,0.01177,0.00015,2014-11-22,2021-01-11,A1
519,JBAL,41537M001,0.00436,0.00021,-0.00102,0.00037,0.01052,0.00024,2009-06-11,2015-09-15,A1
520,JBAL,41537M001,0.00436,0.00038,-0.00102,0.00055,0.01051,0.00042,2015-09-17,2018-07-19,A2
521,JBAL,41537M001,0.00436,0.00028,-0.00102,0.00046,0.01052,0.00031,2018-07-20,2022-04-30,A3
522,JPLM,40400M007,-0.02857,0.00028,0.02375,0.00039,0.01154,0.00032,2000-01-02,2004-10-30,A1
523,JPLM,40400M007,-0.02857,0.00026,0.02375,0.00036,0.01155,0.0003,2004-09-29,2010-04-03,A2
524,JPLM,40400M007,-0.02856,9e-05,0.02375,0.00013,0.01155,0.0001,2010-04-05,2022-04-30,A3
525,JU03,42242M002,0.0023,0.00043,-0.00046,0.00114,0.01271,0.0003,2018-07-23,2022-04-30,A1
526,KAT1,59968M001,-0.03603,0.00014,-0.01261,0.00015,0.05768,9e-05,2010-03-14,2022-04-30,A1
527,KELY,43005M002,-0.02066,0.00077,-0.00125,0.00091,0.00373,0.00164,2000-01-02,2001-09-14,A1
528,KELY,43005M002,-0.02065,0.00078,-0.00125,0.00092,0.00373,0.00164,2001-09-15,2002-10-05,A2
529,KELY,43005M002,-0.02017,0.00018,-0.00384,0.00019,0.00744,0.00067,2002-10-07,2010-10-22,A3
530,KELY,43005M002,-0.01981,0.00015,-0.00393,0.00016,0.00954,0.00058,2010-10-24,2018-05-30,A4
531,KERG,91201M002,-0.00468,0.00014,-0.0005,0.00027,-0.00254,0.00036,2000-01-02,2008-05-08,A1
532,KERG,91201M002,-0.00467,0.00032,-0.0005,0.00048,-0.00254,0.00054,2008-09-07,2011-02-15,A2
533,KERG,91201M002,-0.00468,9e-05,-0.0005,0.00017,-0.00254,0.00024,2011-02-16,2022-04-30,A3
534,KIRU,10403M002,-0.0161,0.00051,0.01107,0.00028,0.0118,0.00061,2000-01-02,2000-09-18,A1
535,KIRU,10403M002,-0.0161,0.00045,0.01108,0.00026,0.01179,0.00059,2000-09-19,2003-03-12,A2
536,KIRU,10403M002,-0.01611,0.00011,0.01107,7e-05,0.0118,0.00024,2003-03-13,2013-02-19,A3
537,KIRU,10403M002,-0.01611,0.00016,0.01107,0.00011,0.0118,0.00033,2013-02-20,2019-11-12,A4
538,KIRU,10403M002,-0.01611,0.00037,0.01107,0.00022,0.0118,0.00056,2019-11-13,2022-04-30,A5
539,KOKB,40424M004,-0.00926,0.00049,0.06301,0.00041,0.03244,0.00042,2000-01-02,2002-08-07,A1
540,KOKB,40424M004,-0.00926,0.00051,0.06302,0.00046,0.03244,0.00048,2002-09-24,2004-05-18,A2
541,KOKB,40424M004,-0.00926,0.00011,0.06301,6e-05,0.03245,6e-05,2004-05-19,2022-04-30,A3
542,KOUG,97301M402,-0.00479,0.00012,-0.00227,0.00016,0.0131,5e-05,2011-05-24,2012-12-17,A1
543,KOUG,97301M402,-0.00479,0.00052,-0.00227,0.00053,0.01311,0.0005,2012-12-18,2022-04-30,A2
544,KOUR,97301M210,-0.00524,0.00055,-0.00128,0.00062,0.01297,0.00049,2000-03-07,2001-11-06,A1
545,KOUR,97301M210,-0.00524,0.00032,-0.00128,0.0004,0.01296,0.0002,2002-02-05,2006-07-01,A2
546,KOUR,97301M210,-0.00524,0.00058,-0.00128,0.00063,0.01297,0.00053,2006-07-02,2007-06-20,A3
547,KOUR,97301M210,-0.00524,0.00059,-0.00128,0.00064,0.01296,0.00054,2007-06-21,2008-01-06,A4
548,KOUR,97301M210,-0.00524,0.00042,-0.00128,0.0005,0.01296,0.00023,2008-01-07,2012-04-15,A5
549,KOUR,97301M210,-0.00524,0.00028,-0.00128,0.00036,0.01297,0.00012,2012-12-05,2019-08-30,A6
550,KOUR,97301M210,-0.00524,0.00044,-0.00128,0.00054,0.01297,0.00028,2019-10-10,2022-04-30,A7
551,KYW1,49852S001,-0.01041,0.00021,0.00101,0.00066,0.00231,0.00033,2000-01-21,2005-10-24,A1
552,KYW1,49852S001,-0.01041,0.00045,0.00101,0.00082,0.00231,0.00054,2005-10-25,2007-10-10,A2
553,LAUT,50804M002,-0.00955,0.0008,-0.01383,0.00024,0.03178,0.00033,2012-11-22,2017-03-16,A1
554,LAUT,50804M002,-0.00955,0.00094,-0.01384,0.0005,0.03177,0.00055,2017-03-17,2018-10-17,A2
555,LAUT,50804M002,-0.00955,0.00083,-0.01383,0.0003,0.03178,0.00038,2018-10-18,2022-04-30,A3
556,LB01,42212M001,0.00136,0.00065,-0.00776,0.00204,0.00713,0.00052,2016-01-01,2018-05-28,A1
557,LB01,42212M001,0.00136,0.0008,-0.00776,0.00209,0.00713,0.00069,2018-05-29,2019-05-25,A2
558,LB01,42212M001,-0.00075,0.00049,-0.00212,0.00131,0.0083,0.00033,2019-05-27,2022-04-30,A3
559,LETA,41919M001,-0.00108,0.00037,-0.00147,0.00074,0.0124,0.00018,2016-03-11,2022-03-10,A1
560,LHAS,21613M001,-0.04593,0.00037,-0.00718,0.00133,0.01413,0.00081,2000-01-02,2003-07-01,A1
561,LHAS,21613M001,-0.04593,0.00039,-0.00718,0.00135,0.01412,0.0008,2003-07-02,2006-06-21,A2
562,LHAS,21613M001,-0.04593,0.00058,-0.00718,0.00143,0.01413,0.00096,2006-07-28,2007-01-29,A3
563,LHAZ,21613M002,-0.04615,0.00023,-0.00676,0.00079,0.0148,0.00047,2002-06-10,2007-02-28,A1
564,LHAZ,21613M002,-0.04615,0.00047,-0.00676,0.00095,0.01479,0.00069,2007-03-01,2008-10-05,A2
565,LHAZ,21613M002,-0.04614,0.00042,-0.00676,0.00092,0.01479,0.00065,2008-10-07,2011-03-10,A3
566,LHAZ,21613M002,-0.04614,0.00051,-0.00676,0.00095,0.01479,0.00072,2011-03-12,2012-04-07,A4
567,LHAZ,21613M002,-0.04615,0.0005,-0.00676,0.00095,0.0148,0.00071,2012-04-08,2013-09-12,A5
568,LHAZ,21613M002,-0.04615,0.00052,-0.00676,0.00096,0.01479,0.00073,2013-09-13,2014-02-11,A6
569,LHAZ,21613M002,-0.04615,0.00044,-0.00676,0.00093,0.01479,0.00068,2014-02-12,2016-03-16,A7
570,LHAZ,21613M002,-0.04615,0.00027,-0.00676,0.00081,0.0148,0.00051,2016-03-17,2019-12-21,A8
571,LHAZ,21613M002,-0.04615,0.00047,-0.00676,0.00094,0.0148,0.00067,2019-12-22,2022-04-19,A9
572,LHCL,41518S001,0.00327,0.00015,-0.00647,0.00026,0.00751,0.00021,2000-01-20,2010-02-26,A1
573,LHCL,41518S001,-0.00326,0.00035,-0.0094,0.0006,0.01061,0.00051,2010-02-28,2017-02-23,A2
574,LHCL,41518S001,-0.00326,0.00038,-0.0094,0.00061,0.01061,0.00051,2017-11-07,2022-04-30,A3
575,LI01,42203M001,0.01928,0.00055,-0.0018,0.00093,0.01303,0.00051,2016-01-01,2017-06-06,A1
576,LI01,42203M001,0.01929,0.0003,-0.0018,0.00079,0.01304,0.00022,2017-07-07,2022-04-30,A2
577,LIBE,40604M001,0.00981,0.00047,0.00364,0.00125,0.02051,0.00046,2010-04-30,2012-09-04,A1
578,LIBE,40604M001,0.00981,0.00036,0.00364,0.0012,0.0205,0.00037,2012-09-06,2022-04-30,A2
579,LIMN,40605M001,0.01631,0.00042,0.00781,0.00076,0.00789,0.00038,2010-04-30,2012-09-04,A1
580,LIMN,40605M001,0.0163,0.0002,0.00781,0.0006,0.00789,0.00018,2012-09-06,2018-01-06,A2
581,LIMN,40605M001,0.01631,0.00054,0.00781,0.00079,0.00789,0.00053,2018-01-07,2018-10-26,A3
582,LIMN,40605M001,0.01631,0.00034,0.00781,0.00073,0.00789,0.00031,2018-10-27,2022-04-30,A4
583,LJEC,42010M001,-0.00079,0.00028,-0.00117,0.0006,0.00877,0.00022,2009-01-18,2013-02-24,A1
584,LJEC,42010M001,-0.00079,0.00018,-0.00117,0.00049,0.00877,0.00014,2013-02-25,2019-02-16,A2
585,LJEC,42010M001,-0.00079,0.00036,-0.00117,0.00066,0.00877,0.00031,2019-10-02,2022-04-30,A3
586,LMMF,97205M001,0.00793,0.00032,0.01159,0.00044,0.01478,0.00025,2009-12-25,2013-06-24,A1
587,LMMF,97205M001,0.00793,0.00013,0.01159,0.0002,0.01478,8e-05,2013-06-25,2022-04-30,A2
588,LPAZ,40521M001,-0.04222,0.00018,0.02597,0.00042,0.01908,0.00023,2005-01-09,2011-12-31,A1
589,LPGS,41510M001,0.00387,0.00021,-0.00759,0.00031,0.00835,0.00025,2000-01-02,2010-02-26,A1
590,LPGS,41510M001,0.00387,0.00047,-0.00759,0.00055,0.00835,0.00053,2010-02-28,2012-03-14,A2
591,LPGS,41510M001,0.00387,0.0005,-0.00759,0.00058,0.00835,0.00057,2012-03-15,2012-10-03,A3
592,LPGS,41510M001,0.00387,0.00042,-0.00759,0.00052,0.00835,0.00048,2012-10-04,2015-09-15,A4
593,LPGS,41510M001,0.00387,0.00049,-0.00759,0.00057,0.00835,0.00056,2015-09-17,2016-12-08,A5
594,LPGS,41510M001,0.00387,0.00039,-0.00759,0.00049,0.00835,0.00042,2016-12-09,2020-02-12,A6
595,LPGS,41510M001,0.00387,0.0005,-0.00759,0.00058,0.00835,0.00057,2020-02-13,2020-08-01,A7
596,LPGS,41510M001,0.00387,0.00049,-0.00759,0.00058,0.00835,0.00057,2020-08-02,2021-05-12,A8
597,LPGS,41510M001,0.00387,0.00049,-0.00759,0.00057,0.00835,0.00055,2021-05-13,2022-04-30,A9
598,LR01,42204M002,-0.00195,0.00091,-0.00515,0.00174,0.00844,0.00064,2018-07-23,2019-05-25,A1
599,LR01,42204M002,-0.00195,0.00077,-0.00515,0.00167,0.00844,0.0004,2019-05-27,2022-04-30,A2
600,MA01,41542M001,-0.00163,0.00097,-0.00952,0.00192,0.01114,0.00149,2010-02-28,2018-03-26,A1
601,MABA,41642M001,-0.00389,0.00047,-0.00114,0.00048,0.01323,0.00024,2007-09-05,2011-09-11,A1
602,MABA,41642M001,-0.00389,0.00034,-0.00114,0.00037,0.01322,0.00013,2012-09-29,2019-10-17,A2
603,MABA,41642M001,-0.00389,0.00054,-0.00114,0.00056,0.01322,0.00035,2019-10-18,2022-04-30,A3
604,MABB,48089M001,-0.00336,0.00047,-0.00238,0.00044,0.01337,0.00021,2013-11-06,2018-04-07,A1
605,MABB,48089M001,-0.00336,0.00038,-0.00238,0.00038,0.01337,0.00014,2018-04-15,2022-04-30,A2
606,MABS,41681M001,-0.00363,0.00022,-0.00318,0.00022,0.01299,7e-05,2010-03-07,2022-04-30,A1
607,MAEC,42013M001,0.00023,0.00062,-0.00078,0.00137,0.00861,0.00051,2011-01-01,2012-11-15,A1
608,MAEC,42013M001,0.00023,0.00046,-0.00078,0.0013,0.00861,0.00033,2012-11-16,2016-04-15,A2
609,MAEC,42013M001,-0.00177,0.00052,-0.00221,0.00146,0.00883,0.00036,2016-04-17,2019-05-25,A3
610,MAEC,42013M001,-0.00283,0.00045,-0.00138,0.00125,0.00876,0.00031,2019-05-27,2022-04-30,A4
611,MAGA,41920S001,0.00935,0.00104,0.00657,0.0025,0.01336,0.00076,2008-12-04,2010-09-02,A1
612,MAGA,41920S001,0.00935,0.00104,0.00657,0.0025,0.01336,0.00076,2012-05-23,2014-02-18,A2
613,MAL2,33201M003,-0.01639,0.00056,0.02075,0.00055,0.01616,0.00052,2008-07-11,2008-09-11,A1
614,MAL2,33201M003,-0.01638,0.00038,0.02076,0.00035,0.01616,0.00019,2008-09-12,2013-04-04,A2
615,MAL2,33201M003,-0.01639,0.00022,0.02075,0.0002,0.01616,8e-05,2013-04-05,2022-04-30,A3
616,MANA,41201S001,0.0074,0.00029,0.00478,0.00064,0.01195,0.0003,2000-05-14,2004-10-08,A1
617,MANA,41201S001,0.0074,0.00053,0.00478,0.00071,0.01194,0.00054,2004-10-10,2005-07-01,A2
618,MANA,41201S001,0.0074,0.00015,0.00478,0.00048,0.01194,0.00017,2005-07-03,2012-09-04,A3
619,MANA,41201S001,0.0074,0.0005,0.00478,0.0007,0.01195,0.00049,2012-09-06,2014-04-09,A4
620,MANA,41201S001,0.0074,0.00018,0.00478,0.00049,0.01195,0.00018,2014-04-11,2020-02-04,A5
621,MANA,41201S001,0.0074,0.00043,0.00478,0.00069,0.01195,0.0004,2020-02-05,2022-04-30,A6
622,MAPA,41629M001,-0.00299,0.00037,-0.0025,0.00044,0.01338,0.00015,2006-01-13,2011-09-13,A1
623,MAPA,41629M001,-0.00299,0.00065,-0.0025,0.00069,0.01339,0.00054,2011-09-14,2012-01-05,A2
624,MAPA,41629M001,-0.00299,0.00065,-0.0025,0.00069,0.01338,0.00054,2012-01-06,2012-01-15,A3
625,MAPA,41629M001,-0.00299,0.0004,-0.0025,0.00047,0.01338,0.00018,2012-01-16,2017-01-21,A4
626,MARA,42402M001,0.00718,0.00023,0.00546,0.00055,0.01355,0.00017,2000-01-21,2008-05-23,A1
627,MARA,42402M001,0.00718,0.00062,0.00546,0.00085,0.01355,0.00059,2008-07-14,2009-03-11,A2
628,MARA,42402M001,0.00718,0.00063,0.00546,0.00085,0.01356,0.00059,2009-03-12,2009-07-27,A3
629,MARA,42402M001,0.00718,0.00037,0.00546,0.00068,0.01355,0.00029,2009-07-28,2014-10-04,A4
630,MAS1,31303M002,-0.00399,0.00053,0.01852,0.00045,0.01539,0.00051,2000-01-02,2000-11-20,A1
631,MAS1,31303M002,-0.00399,0.00035,0.01852,0.00014,0.01539,0.00024,2000-11-21,2008-07-07,A2
632,MAS1,31303M002,-0.00399,0.00043,0.01852,0.00024,0.01539,0.00032,2008-07-08,2012-06-18,A3
633,MAS1,31303M002,-0.00399,0.00017,0.01853,7e-05,0.01539,0.0001,2012-06-19,2022-04-30,A4
634,MATE,12734M008,-0.01884,0.00024,0.01906,0.00011,0.01525,0.00022,2000-01-04,2008-11-23,A1
635,MATE,12734M008,-0.01883,0.00024,0.01907,0.00012,0.01524,0.00021,2008-11-24,2017-07-04,A2
636,MATE,12734M008,-0.01883,0.0003,0.01906,0.00018,0.01524,0.00028,2017-07-05,2022-04-30,A3
637,MAUI,40445S008,-0.01292,9e-05,0.06212,6e-05,0.03246,5e-05,2000-01-02,2022-04-30,A1
638,MAW1,66004M001,0.00256,4e-05,-0.00345,5e-05,-0.00035,9e-05,2000-01-02,2022-04-30,A1
